mlp_type,training_size,predictors,nodes,activation,dropout,optimizer,learning_rate,epochs,MSE,R^2,observed_total_runoff,predicted_total_runoff,proportion_runoff_predicted
N17_random_year,17,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,30.708612211170525,0.8891843037862913,3358.812162739386,3390.2744,1.0093670767517566
N18_random_year,18,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,26.6779164985353,0.9037295508508527,3358.812162739386,3540.9824,1.0542365128828874
N19_random_year,19,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,27.320350399221716,0.9014112513625432,3358.812162739386,3585.8691,1.0676003798022544
N20_random_year,20,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,30.21054905909455,0.8909816241788949,3358.812162739386,3196.5723,0.9516972401987296
N21_random_year,21,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,27.52937318626863,0.9006569676615458,3358.812162739386,3260.9785,0.9708725458959292
N1_random_year,1,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,37.51869868541488,0.8646092930782387,3358.812162739386,3222.3604,0.9593749800329416
N2_random_year,2,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,38.11430069343785,0.8624599920700564,3358.8121627393866,2856.174,0.8503524263578291
N3_random_year,3,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,38.413676282932066,0.8613796594861202,3358.812162739386,2736.1396,0.8146152615470924
N4_random_year,4,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,25.278670740662204,0.9087788963493244,3358.8121627393866,3448.5083,1.0267047199116692
N5_random_year,5,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,22.191720058878175,0.9199185267118728,3358.8121627393866,3093.527,0.9210181902778243
N6_random_year,6,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,23.061398063235988,0.9167801897244525,3358.812162739386,3084.94,0.9184615846127665
N7_random_year,7,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,25.465100230086872,0.9081061432622328,3358.812162739386,3158.2793,0.9402964928825209
N8_random_year,8,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,28.965658840925993,0.8954739592700197,3358.8121627393866,3030.017,0.9021097170770404
N9_random_year,9,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,24.091052303539367,0.9130645593757418,3358.812162739386,3076.7297,0.916017207052984
N10_random_year,10,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,21.961599686121748,0.920748943571632,3358.812162739386,3235.2607,0.9632157398015613
N11_random_year,11,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,18.77678132565249,0.9322417411458975,3358.812162739386,3264.872,0.9720317517397965
N12_random_year,12,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,21.722148861288318,0.9216130304825088,3358.812162739386,3333.3367,0.9924153267336231
N13_random_year,13,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,26.61941497767496,0.9039406605786098,3358.812162739386,3111.6611,0.926417132619493
N14_random_year,14,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,20.461469468924665,0.9261623426951991,3358.812162739386,3331.4868,0.9918645803905717
N15_random_year,15,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,22.366184118039996,0.9192889523095084,3358.8121627393866,3317.747,0.9877739241025629
N16_random_year,16,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,19.275009022218203,0.930443826974843,3358.812162739386,3304.472,0.9838215904080381
N17_random_year,17,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,28.2463833828331,0.8980695506992216,3358.812162739386,2869.8677,0.8544293448790652
N18_random_year,18,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,26.023009194575348,0.9060928621051909,3358.812162739386,2963.7676,0.8823856275748999
N19_random_year,19,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,22.299742685618742,0.9195287141567897,3358.812162739386,3029.7415,0.9020276539093877
N20_random_year,20,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,22.30094790424797,0.9195243649813672,3358.812162739386,3132.6714,0.9326723957566594
N21_random_year,21,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,24.45708769651048,0.911743676926479,3358.812162739386,3421.3328,1.0186139021485197
N1_random_year,1,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,34.115565197019116,0.8768899068758099,3358.812162739386,3414.8232,1.0166758594212164
N2_random_year,2,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,50.054415916566086,0.8193726596883752,3358.8121627393866,2465.657,0.7340859991440931
N3_random_year,3,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,39.912225026112694,0.855971967300495,3358.812162739386,2675.858,0.7966679232142202
N4_random_year,4,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,31.12364187785328,0.8876866196465286,3358.8121627393866,3062.0063,0.9116336964669477
N5_random_year,5,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,33.784038574956334,0.8780862603021592,3358.8121627393866,3040.3782,0.9051944635535818
N6_random_year,6,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,45.523186479803364,0.835724142499971,3358.812162739386,2598.0781,0.7735109911240332
N7_random_year,7,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,30.505095097580437,0.8899187196068046,3358.812162739386,2972.1436,0.8848793593338288
N8_random_year,8,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,31.562687293192564,0.8861022718083491,3358.8121627393866,3133.3486,0.9328740283758522
N9_random_year,9,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,34.9641401840455,0.8738277226478082,3358.812162739386,2656.954,0.7910398000332166
N10_random_year,10,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,35.22806840579633,0.8728753061256078,3358.812162739386,2861.6143,0.8519721017916702
N11_random_year,11,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,30.657093610332794,0.8893702148128311,3358.812162739386,3007.0293,0.8952656925067586
N12_random_year,12,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,32.68485682156433,0.882052788988963,3358.812162739386,2895.7556,0.8621368135313198
N13_random_year,13,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,31.834463368567338,0.8851215353686891,3358.812162739386,3111.3616,0.9263279461653655
N14_random_year,14,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,32.10796982898735,0.8841345546278477,3358.812162739386,2970.0386,0.884252655497246
N15_random_year,15,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,28.770457292082785,0.8961783673816043,3358.8121627393866,3240.6125,0.9648091026874036
N16_random_year,16,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,28.262160158508816,0.8980126183191944,3358.812162739386,3016.8953,0.8982030305652311
