t2m,ts,al2,swd,date,dailyQ,runoff
-14.207513,-17.229488,0.8176106,116.1357,2009-03-17,0.0,0.0
-7.957368,-10.163308,0.8140136,88.89217,2009-03-18,0.0,0.0
-13.544434,-16.360712,0.8189869,123.31135,2009-03-19,0.0,0.0
-8.304074,-10.951603,0.81487465,75.205734,2009-03-20,0.0,0.0
-10.544071,-11.919205,0.8125409,80.73085,2009-03-21,0.0,0.0
-18.445131,-20.554403,0.8125855,118.123886,2009-03-22,0.0,0.0
-18.325382,-20.34853,0.8150862,135.79498,2009-03-23,0.0,0.0
-20.023548,-21.035378,0.81237245,112.962296,2009-03-24,0.0,0.0
-17.990734,-19.040337,0.81219363,107.485535,2009-03-25,0.0,0.0
-14.253216,-14.670301,0.81190425,97.33635,2009-03-26,0.0,0.0
-12.98872,-12.8900795,0.810964,68.80138,2009-03-27,0.0,0.0
-26.629131,-27.68395,0.8114598,151.26776,2009-03-28,0.0,0.0
-28.260517,-29.500502,0.8142247,159.9089,2009-03-29,0.0,0.0
-26.620941,-28.466465,0.8152803,166.94376,2009-03-30,0.0,0.0
-17.137018,-19.480213,0.8151182,170.01166,2009-03-31,0.0,0.0
-16.690638,-18.781355,0.8149896,171.93808,2009-04-01,0.0,0.0
-10.474276,-13.282711,0.8147031,171.30927,2009-04-02,0.0,0.0
-9.534649,-12.187061,0.8135177,173.88603,2009-04-03,0.0,0.0
-12.782822,-15.152908,0.81175065,174.56879,2009-04-04,0.0,0.0
-17.562351,-19.588978,0.813993,182.89804,2009-04-05,0.0,0.0
-16.660524,-17.692642,0.81373596,155.6302,2009-04-06,0.0,0.0
-18.81426,-18.734488,0.81034803,168.26701,2009-04-07,0.0,0.0
-23.36961,-24.673477,0.8126881,198.50748,2009-04-08,0.0,0.0
-16.802364,-19.420427,0.81525886,201.11876,2009-04-09,0.0,0.0
-6.8343143,-8.583427,0.81045747,137.4621,2009-04-10,0.0,0.0
-9.227428,-9.426746,0.8105986,172.89815,2009-04-11,0.0,0.0
-15.153168,-17.129414,0.81012404,211.17313,2009-04-12,0.0,0.0
-11.574198,-13.941898,0.81222534,203.19785,2009-04-13,0.0,0.0
-10.323267,-11.447649,0.8104297,186.00479,2009-04-14,0.0,0.0
-17.77348,-17.686733,0.8109317,105.8137,2009-04-15,0.0,0.0
-18.4234,-17.685497,0.81011677,111.76857,2009-04-16,0.0,0.0
-15.849119,-15.894558,0.8103462,199.62955,2009-04-17,0.0,0.0
-10.376133,-12.013825,0.80855316,226.25418,2009-04-18,0.0,0.0
-5.6645184,-8.388678,0.809482,222.94202,2009-04-19,0.0,0.0
-7.505082,-8.125282,0.80993253,176.38867,2009-04-20,0.0,0.0
-11.656124,-12.23794,0.80992997,213.95297,2009-04-21,0.0,0.0
-13.657845,-14.596642,0.80726,240.67386,2009-04-22,0.0,0.0
-10.237015,-12.205744,0.8138745,230.22583,2009-04-23,0.0,0.0
-4.1141214,-5.617027,0.8098664,213.50198,2009-04-24,0.0,0.0
-1.2432727,-2.6089387,0.83474565,194.55725,2009-04-25,0.0,0.0
-7.7857294,-9.401776,0.82969385,245.74844,2009-04-26,0.0,0.0
-8.351164,-10.15975,0.8266639,190.64923,2009-04-27,0.0,0.0
-5.534526,-8.121305,0.80908704,270.98853,2009-04-28,336682.8,9.815825072886296
-11.462116,-12.672236,0.8155879,246.19237,2009-04-29,431236.8,12.572501457725947
-9.7331295,-11.257067,0.8117282,262.49628,2009-04-30,504466.2,14.707469387755102
-11.523166,-13.53247,0.81149983,281.14798,2009-05-01,472885.2,13.786740524781342
-9.072434,-11.250006,0.8153175,260.75726,2009-05-02,585748.8,17.07722448979592
-7.1630936,-8.543521,0.8127909,280.8991,2009-05-03,620231.4,18.08254810495627
-11.464869,-12.795643,0.8099892,290.69263,2009-05-04,525015.0,15.306559766763847
-13.193363,-14.755911,0.8122644,289.4394,2009-05-05,615340.8,17.93996501457726
-10.982918,-12.467466,0.8064928,296.05038,2009-05-06,588864.6,17.16806413994169
-12.850949,-13.947641,0.80706584,298.73965,2009-05-07,468001.8,13.644367346938775
-6.6693025,-8.168247,0.8146573,218.1104,2009-05-08,647024.4,18.863685131195336
